county,Al Gore,George W. Bush,Ralph Nader,Pat Buchanan
ALACHUA,47365,34124,3226,262
BAKER,2392,5610,53,73
BAY,18850,38637,828,248
BRADFORD,3075,5414,84,65
BREVARD,97318,115185,4470,570
BROWARD,387703,177902,7104,789
CALHOUN,2155,2873,39,90
CHARLOTTE,29645,35426,1462,182
CITRUS,25525,29767,1379,270
CLAY,14632,41736,562,186
COLLIER,29921,60450,1400,122
COLUMBIA,7047,10964,258,89
DIXIE,1826,2697,75,29
DUVAL,107864,152098,2757,650
ESCAMBIA,40943,73017,1727,504
FLAGLER,13897,12613,435,83
FRANKLIN,2046,2454,85,33
GADSDEN,9735,4767,139,39
GILCHRIST,1910,3300,97,29
GLADES,1442,1841,56,9
GULF,2397,3550,86,71
HAMILTON,1722,2146,37,24
HARDEE,2339,3765,75,30
HENDRY,3240,4747,104,22
HERNANDO,32644,30646,1501,242
HIGHLANDS,14167,20206,545,99
HILLSBOROUGH,169557,180760,7490,836
HOLMES,2177,5011,94,76
INDIAN RIVER,19768,28635,950,105
JACKSON,6868,9138,138,102
JEFFERSON,3041,2478,76,29
LAFAYETTE,789,1670,26,10
LAKE,36571,50010,1460,289
LEE,73560,106141,3587,305
LEON,61427,39062,1932,282
LEVY,5398,6858,284,67
LIBERTY,1017,1317,19,39
MADISON,3014,3038,54,29
MANATEE,49177,57952,2491,272
MARION,44665,55141,1809,563
MARTIN,26620,33970,1118,108
MONROE,16483,16059,1090,47
NASSAU,6952,16404,253,90
OKALOOSA,16948,52093,985,267
OKEECHOBEE,4588,5057,131,43
ORANGE,140220,134517,3879,446
OSCEOLA,28181,26212,732,145
PALM BEACH,269732,152951,5565,3407
PASCO,69564,68582,3393,570
PINELLAS,200630,184825,10022,1010
POLK,75200,90295,2059,538
PUTNAM,12102,13447,377,147
SANTA ROSA,12802,36274,724,311
SARASOTA,72853,83100,4069,305
SEMINOLE,59174,75677,1946,194
ST. JOHNS,19502,39546,1217,229
ST. LUCIE,41559,34705,1368,124
SUMTER,9637,12127,306,114
SUWANNEE,4075,8006,180,108
TAYLOR,2649,4056,59,27
UNION,1407,2332,33,26
VOLUSIA,97304,82357,2910,396
WAKULLA,3838,4512,149,46
WALTON,5642,12182,265,120
WASHINGTON,2798,4994,93,88
